#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
33,Belgium,"4,492,773","+1,182","32,561 ",+6,"4,410,182","+2,778","50,030",57,"384,018","2,783","35,342,498","3,020,888","11,699,373 ",Europe,3,359,0,101,0.5,"4,276"
34,Canada,"4,179,337",,"44,085 ",,"4,047,843","+3,600","87,409",257,"108,661","1,146","64,423,248","1,674,970","38,462,328 ",North America,9,872,1,,,"2,273"
35,Peru,"4,115,878",+761,"215,928 ",+51,"3,860,051",,"39,899",205,"121,157","6,356","34,485,893","1,015,140","33,971,564 ",South America,8,157,1,22,2,"1,174"
36,Czechia,"4,046,761",+177,"40,857 ",+4,"3,994,164","+1,585","11,740",29,"376,366","3,800","55,989,386","5,207,247","10,752,205 ",Europe,3,263,0,16,0.4,"1,092"
37,Switzerland,"4,038,334",+758,"14,157 ",,"3,952,248","+3,104","71,929",46,"459,301","1,610","22,103,405","2,513,934","8,792,357 ",Europe,2,621,0,86,,"8,181"
38,South Africa,"4,012,920",+108,"102,108 ",,"3,904,513",,"6,299",192,"65,854","1,676","26,168,861","429,447","60,936,228 ",Africa,15,597,2,2,,103
39,Philippines,"3,893,514","+2,143","62,062 ",+51,"3,807,018","+1,678","24,434",681,"34,531",550,"32,331,881","286,743","112,755,586 ",Asia,29,"1,817",3,19,0.5,217
40,Romania,"3,228,364","+1,176","66,779 ",+6,"3,120,222","+2,058","41,363",172,"170,284","3,522","24,725,378","1,304,174","18,958,649 ",Europe,6,284,1,62,0.3,"2,182"
41,Denmark,"3,094,370","+1,396","6,953 ",+17,"3,079,034","+2,079","8,383",,"530,168","1,191","128,229,292","21,969,925","5,836,583 ",Europe,2,839,0,239,3,"1,436"
42,Sweden,"2,569,152",,"19,873 ",,"2,528,039","+1,065","21,240",15,"250,984","1,941","18,865,773","1,843,026","10,236,301 ",Europe,4,515,1,,,"2,075"
43,Iraq,"2,458,509",,"25,348 ",,"2,431,657",,"1,504",21,"58,276",601,"19,239,264","456,044","42,187,267 ",Asia,17,"1,664",2,,,36
