#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
155,Papua New Guinea,"44,894",+7,664 ,,"43,982",,248,7,"4,819",71,"249,149","26,744","9,315,939 ",Australia/Oceania,208,"14,030",37,0.8,,27
156,Aruba,"42,914",+122,227 ,+1,"42,438",+98,249,2,"398,266","2,107","177,885","1,650,874","107,752 ",North America,3,475,1,"1,132",9,"2,311"
157,Mauritius,"40,299",,"1,022 ",,"38,573",,704,,"31,573",801,"358,675","281,014","1,276,359 ",Africa,32,"1,249",4,,,552
158,Mayotte,"40,095",,187 ,,N/A,N/A,N/A,,"139,634",651,"176,919","616,133","287,144 ",Africa,7,"1,536",2,,,"128,660"
159,Tanzania,"38,951",+239,845 ,+4,N/A,N/A,N/A,7,614,13,,,"63,438,195 ",Africa,"1,629","75,075",,4,0.06,598
160,Togo,"38,546",,283 ,,"38,058",,205,,"4,430",33,"786,762","90,421","8,701,095 ",Africa,226,"30,746",11,,,24
161,Isle of Man,"38,008",,116 ,,N/A,N/A,N/A,,"441,892","1,349","150,753","1,752,697","86,012 ",Europe,2,741,1,,,"129,029"
162,Guinea,"37,470",,447 ,,"36,763",,260,8,"2,694",32,"660,107","47,461","13,908,265 ",Africa,371,"31,115",21,,,19
163,Bahamas,"37,101",+20,823 ,,"35,923",+26,355,1,"92,424","2,050","248,846","619,911","401,422 ",North America,11,488,2,50,,884
164,Faeroe Islands,"34,658",,28 ,,N/A,N/A,N/A,5,"703,473",568,"778,000","15,791,503","49,267 ",Europe,1,"1,760",0,,,"546,755"
165,Lesotho,"34,287",+81,704 ,,"25,811",+71,"7,772",,"15,734",323,"431,221","197,880","2,179,206 ",Africa,64,"3,095",5,37,,"3,566"
166,Haiti,"33,551",+83,841 ,,"30,845",+26,"1,865",,"2,866",72,"132,422","11,313","11,705,069 ",North America,349,"13,918",88,7,,159
167,Mali,"31,664",+41,739 ,,"30,547",+13,378,,"1,471",34,"743,878","34,566","21,520,633 ",Africa,680,"29,121",29,2,,18
168,Cayman Islands,"30,057",,29 ,,"8,553",,"21,475",1,"445,936",430,"222,773","3,305,139","67,402 ",North America,2,"2,324",0,,,"318,611"
169,Saint Lucia,"28,894",,391 ,,"28,369",,134,,"155,802","2,108","209,716","1,130,831","185,453 ",North America,6,474,1,,,723
170,Benin,"27,490",,163 ,,"27,217",,110,5,"2,145",13,"604,310","47,158","12,814,452 ",Africa,466,"78,616",21,,,9
171,Somalia,"27,020",,"1,350 ",,"13,182",,"12,488",,"1,603",80,"400,466","23,755","16,858,500 ",Africa,624,"12,488",42,,,741
172,Congo,"24,837",,386 ,,"24,006",,445,,"4,272",66,"347,815","59,826","5,813,753 ",Africa,234,"15,062",17,,,77
173,Timor-Leste,"23,163",,138 ,,"22,981",,44,,"16,869",101,"275,776","200,841","1,373,106 ",Asia,59,"9,950",5,,,32
174,Solomon Islands,"21,544",,153 ,,"16,357",,"5,034",1,"29,775",211,"5,117","7,072","723,552 ",Australia/Oceania,34,"4,729",141,,,"6,957"
175,Burkina Faso,"21,128",,387 ,,"20,632",,109,,954,17,"248,995","11,241","22,151,064 ",Africa,"1,048","57,238",89,,,5
176,San Marino,"20,412",+14,118 ,,"20,214",+27,80,4,"598,838","3,462","157,634","4,624,597","34,086 ",Europe,2,289,0,411,,"2,347"
177,Gibraltar,"20,069",,108 ,,"16,579",,"3,382",,"596,068","3,208","534,283","15,868,692","33,669 ",Europe,2,312,0,,,"100,448"
178,Grenada,"19,346",,236 ,,"18,971",,139,4,"170,214","2,076","177,860","1,564,884","113,657 ",North America,6,482,1,,,"1,223"
179,Liechtenstein,"19,231",+3,86 ,,"19,018",+6,127,2,"501,251","2,242","102,174","2,663,139","38,366 ",Europe,2,446,0,78,,"3,310"
180,Nicaragua,"18,491",,225 ,,"4,225",,"14,041",,"2,721",33,,,"6,796,096 ",North America,368,"30,205",,,,"2,066"
181,Bermuda,"17,913",,148 ,,"17,624",,141,,"289,958","2,396","988,467","16,000,308","61,778 ",North America,3,417,0,,,"2,282"
182,South Sudan,"17,823",,138 ,,"17,335",,350,1,"1,553",12,"410,280","35,741","11,479,359 ",Africa,644,"83,184",28,,,30
183,Tajikistan,"17,786",,125 ,,"17,264",,397,,"1,778",12,,,"10,003,966 ",Asia,562,"80,032",,,,40
184,Equatorial Guinea,"16,957",,183 ,,"16,623",,151,5,"11,280",122,"365,697","243,257","1,503,336 ",Africa,89,"8,215",4,,,100
185,Tonga,"16,182",+377,12 ,,"15,638",+595,532,,"149,416",111,"535,009","4,939,973","108,302 ",Australia/Oceania,7,"9,025",0,"3,481",,"4,912"
186,Samoa,"15,839",,29 ,,"1,605",,"14,205",4,"78,690",144,"187,397","931,013","201,283 ",Australia/Oceania,13,"6,941",1,,,"70,572"
187,Djibouti,"15,690",,189 ,,"15,427",,74,,"15,393",185,"305,941","300,156","1,019,273 ",Africa,65,"5,393",3,,,73
188,Marshall Islands,"15,063",,17 ,,"14,612","+1,009",434,22,"250,803",283,,,"60,059 ",Australia/Oceania,4,"3,533",,,,"7,226"
189,CAR,"14,874",+12,113  ,,"14,520",,241,2,"2,967",23,"81,294","16,218","5,012,551 ",Africa,337,"44,359",62,2,,48
190,Dominica,"14,852",,68 ,,"14,554",,230,,"205,209",940,"210,195","2,904,249","72,375 ",North America,5,"1,064",0,,,"3,178"
191,Monaco,"14,404",,57 ,,"14,301",,46,4,"361,483","1,430","77,770","1,951,715","39,847 ",Europe,3,699,1,,,"1,154"
192,Gambia,"12,311",,371 ,,"11,788",,152,,"4,801",145,"155,686","60,709","2,564,469 ",Africa,208,"6,912",16,,,59
193,Greenland,"11,971",,21 ,,"2,761",,"9,189",4,"210,077",369,"164,926","2,894,251","56,984 ",North America,5,"2,714",0,,,"161,256"
194,Saint Martin,"11,941",,63 ,,"1,399",,"10,479",7,"297,773","1,571","112,382","2,802,474","40,101 ",North America,3,637,0,,,"261,315"
195,Yemen,"11,931",,"2,155 ",,"9,119",,657,23,382,69,"329,592","10,545","31,255,893 ",Asia,"2,620","14,504",95,,,21
196,Vanuatu,"11,857",+1,14 ,,"11,751",,92,,"36,735",43,"24,976","77,380","322,769 ",Australia/Oceania,27,"23,055",13,3,,285
197,Caribbean Netherlands,"11,032",,35 ,,"10,476",,521,,"412,350","1,308","30,126","1,126,037","26,754 ",North America,2,764,1,,,"19,474"
198,Sint Maarten,"10,836",,87 ,,"10,741",,8,10,"246,637","1,980","62,056","1,412,450","43,935 ",North America,4,505,1,,,182
199,Eritrea,"10,157",+2,103 ,,"10,050",,4,,"2,780",28,"23,693","6,485","3,653,254 ",Africa,360,"35,468",154,0.5,,1
200,Niger,"9,931",,312 ,,"8,870",+3,749,1,380,12,"254,538","9,747","26,114,476 ",Africa,"2,630","83,700",103,,,29
201,Antigua and Barbuda,"8,974",,145 ,,"8,794",,35,1,"90,015","1,454","18,901","189,590","99,694 ",North America,11,688,5,,,351
202,Guinea-Bissau,"8,796",,175 ,,"8,301",,320,6,"4,251",85,"145,231","70,185","2,069,253 ",Africa,235,"11,824",14,,,155
203,Comoros,"8,455",,161 ,,"8,281",,13,,"9,292",177,,,"909,924 ",Africa,108,"5,652",,,,14
204,Liberia,"7,898",+15,294 ,,"7,482",+21,122,2,"1,486",55,"139,824","26,300","5,316,451 ",Africa,673,"18,083",38,3,,23
205,Micronesia,"7,856",,27 ,,147,,"7,682",1,"66,776",230,"21,923","186,346","117,647 ",Australia/Oceania,15,"4,357",5,,,"65,297"
206,Sierra Leone,"7,747",,126 ,,N/A,N/A,N/A,,930,15,"259,958","31,207","8,330,094 ",Africa,"1,075","66,112",32,,,331
207,Chad,"7,547",+9,193 ,,"4,874",,"2,480",,432,11,"191,341","10,964","17,451,958 ",Africa,"2,312","90,425",91,0.5,,142
208,British Virgin Islands,"7,291",,64 ,,N/A,N/A,N/A,1,"237,732","2,087","107,243","3,496,788","30,669 ",North America,4,479,0,,,750
209,St. Vincent Grenadines,"7,112",,115 ,,"6,641",,356,,"63,667","1,029","100,856","902,862","111,707 ",North America,16,971,1,,,"3,187"
210,Saint Kitts and Nevis,"6,517",,46 ,,"6,446",,25,,"120,645",852,"124,861","2,311,470","54,018 ",North America,8,"1,174",0,,,463
211,Cook Islands,"6,373",,1 ,,"6,344",,28,,"362,123",57,"19,690","1,118,814","17,599 ",Australia/Oceania,3,"17,599",1,,,"1,591"
212,Turks and Caicos,"6,369",,36 ,,"6,294",,39,4,"159,796",903,"549,718","13,792,257","39,857 ",North America,6,"1,107",0,,,978
213,Sao Tome and Principe,"6,177",+24,76 ,,"6,077",+17,24,,"27,090",333,"29,036","127,341","228,018 ",Africa,37,"3,000",8,105,,105
214,Palau,"5,403",,6 ,,"5,336",,61,1,"295,537",328,"64,461","3,525,927","18,282 ",Australia/Oceania,3,"3,047",0,,,"3,337"
215,St. Barth,"5,263",,6 ,,N/A,N/A,N/A,,"529,317",603,"78,646","7,909,685","9,943 ",North America,2,"1,657",0,,,"482,249"
216,Nauru,"4,611",,1 ,,"4,605",,5,,"420,252",91,"20,509","1,869,213","10,972 ",Australia/Oceania,2,"10,972",1,,,456
217,Anguilla,"3,851",+14,12 ,+1,"3,821",+32,18,4,"251,798",785,"51,382","3,359,618","15,294 ",North America,4,"1,275",0,915,65,"1,177"
218,Kiribati,"3,430",,13 ,,"2,703",,714,3,"27,787",105,,,"123,438 ",Australia/Oceania,36,"9,495",,,,"5,784"
219,Saint Pierre Miquelon,"3,131",,1 ,,"2,449",,681,1,"546,232",174,"24,902","4,344,382","5,732 ",North America,2,"5,732",0,,,"118,807"
220,Falkland Islands,"1,886",, ,,"1,881",,5,,"509,592",,"8,632","2,332,343","3,701 ",South America,2,,0,,,"1,351"
221,Montserrat,"1,190",,8 ,,"1,113",,69,,"238,048","1,600","16,597","3,320,064","4,999 ",North America,4,625,0,,,"13,803"
229,MS Zaandam,9,,2 ,,7,,0,,,,,, ,,,,,,,
230,Saint Helena,7,, ,,2,,5,,"1,145",,,,"6,116 ",Africa,874,,,,,818
,Total:,"184,957,497","+201,227","1,469,986",+490,"177,219,315","+430,139","6,268,196","12,452",,,,,,Asia, ,,,,,
,Total:,"114,756,789","+27,514","1,526,477",+59,"108,658,805","+116,888","4,571,507","9,012",,,,,,North America, ,,,,,
,Total:,"222,455,302","+121,919","1,905,560",+409,"216,338,790","+172,076","4,210,952","9,094",,,,,,Europe, ,,,,,
,Total:,"63,759,583","+12,568","1,326,377",+158,"61,814,588","+61,480","618,618","10,414",,,,,,South America, ,,,,,
,Total:,"12,197,267","+10,821","19,641",+14,"11,997,684","+16,912","179,942",144,,,,,,Australia/Oceania, ,,,,,
,Total:,"12,617,846",+710,"257,426",+4,"11,944,288",+385,"416,132","1,027",,,,,,Africa, ,,,,,
,Total:,721,,15,,706,,0,0,,,,,,, ,,,,,
,Total:,"610,745,005","+374,759","6,505,482","+1,134","587,974,176","+797,880","16,265,347","42,143","78,352.9",834.6,,,,All,"
",,,,,
